category,english,kanji,kana
Crime and criminality,slavery,奴隷,どれい
Crime and criminality,the espionage,スパイ活動,すぱいかつどう
Crime and criminality,the slander,中傷,ちゅうしょう
Crime and criminality,the conspiracy,陰謀,いんぼう
Crime and criminality,the counterfeit,偽造,ぎぞう
Crime and criminality,the corruption,腐敗,ふはい
Crime and criminality,cybercrime,サイバー犯罪,さいばーはんざい
Crime and criminality,the delinquency,延滞,えんたい
Crime and criminality,the defamation,名誉毀損,めいよきそん
Crime and criminality,the discrimination,差別,さべつ
Crime and criminality,the mafia,マフィア,まふぃあ
Crime and criminality,pedophilia,小児性愛,しょうにせいあい
Crime and criminality,the death penalty,死刑,しけい
Crime and criminality,prostitution,売春,ばいしゅん
Crime and criminality,torture,拷問,ごうもん
Crime and criminality,violence,暴力,ぼうりょく
Crime and criminality,family violence,家庭内暴力,かていないぼうりょく
Crime and criminality,the blackmail,恐喝,きょうかつ
Crime and criminality,the organized crime,組織犯罪,そしきはんざい
Crime and criminality,cyberharassment,サイバーハラスメント,さいばーはらすめんと
Crime and criminality,the hit and run,ヒットアンドラン,ひっとあんどらん
Crime and criminality,sexual harassment,性的嫌がらせ,せいてきいやがらせ
Crime and criminality,the suspect,容疑者,ようぎしゃ
Crime and criminality,terrorism,テロ,てろ
Crime and criminality,the shooter,シューター,しゅーたー
Crime and criminality,vandalism,破壊行為,はかいこうい
Crime and criminality,the snatch and grab,スナッチとグラブ,すなっちとぐらぶ
Crime and criminality,abused,虐待された,ぎゃくたいされた
Crime and criminality,threatening,脅かす,きょうかす
Crime and criminality,the betrayal,裏切り,うらぎり
Crime and criminality,the breach of trust,信頼の侵害,しんらいのしんがい
Crime and criminality,the murderer,殺人者,さつじんしゃ
Crime and criminality,the assassination,暗殺,あんさつ
Crime and criminality,the bombing,爆撃,ばくげき
Crime and criminality,the robbery,強盗,ごうとう
Crime and criminality,the burglar,強盗,ごうとう
Crime and criminality,the accomplice,共犯者,きょうはんしゃ
Crime and criminality,the plot,プロット,ぷろっと
Crime and criminality,the smuggler,密輸業者,みつゆぎょうしゃ
Crime and criminality,the culprit,犯人,はんにん
Crime and criminality,the knife,ナイフ,ないふ
Crime and criminality,the crime,犯罪,はんざい
Crime and criminality,the criminal,犯罪者,はんざいしゃ
Crime and criminality,the drug dealer,麻薬の売人,まやくのばいにん
Crime and criminality,the offence,犯罪,はんざい
Crime and criminality,insider trading,インサイダー取引,いんさいだーとりひき
Crime and criminality,the poisoning,中毒,ちゅうどく
Crime and criminality,the kidnapping,誘拐,ゆうかい
Crime and criminality,the spy,スパイ,すぱい
Crime and criminality,the false testimony,偽証,ぎしょう
Crime and criminality,the femicide,殺虫剤,さっちゅうざい
Crime and criminality,the fugitive,逃亡者,とうぼうしゃ
Crime and criminality,the gangster,ギャング,ぎゃんぐ
Crime and criminality,the genocide,虐殺,ぎゃくさつ
Crime and criminality,the hacker,ハッカー,はっかー
Crime and criminality,the homicide,殺人,さつじん
Crime and criminality,manslaughter,過失致死,かしつちし
Crime and criminality,the outlaw,無法者,むほうしゃ
Crime and criminality,the infanticide,幼児殺し,ようじころし
Crime and criminality,the kidnapper,誘拐犯,ゆうかいはん
Crime and criminality,the theft,盗難,とうなん
Crime and criminality,the blackmailer,恐喝,きょうかつ
Crime and criminality,the perpetrator,犯人,はんにん
Crime and criminality,the white wedding,白い結婚式,しろいけっこんしき
Crime and criminality,the murder,殺人,さつじん
Crime and criminality,the multioffender,マルチ犯罪者,まるちはんざいしゃ
Crime and criminality,the pedophile,小児性愛者,しょうにせいあいもの
Crime and criminality,the pickpocket,スリ,すり
Crime and criminality,the pirate,海賊,かいぞく
Crime and criminality,the gun,銃,じゅう
Crime and criminality,the bribe,賄賂,わいろ
Crime and criminality,the arsonist,放火犯,ほうかはん
Crime and criminality,the terrorist,テロリスト,てろりすと
Crime and criminality,the addict,中毒者,ちゅうどくしゃ
Crime and criminality,the drug trade,麻薬取引,まやくとりひき
Crime and criminality,the killer,キラー,きらー
Crime and criminality,the serial killer,シリアルキラー,しりあるきらー
Crime and criminality,the rape,レイプ,れいぷ
Crime and criminality,the rapist,強姦犯,ごうかんはん
Crime and criminality,the flight,フライト,ふらいと
Crime and criminality,shoplifting,万引き,まんびき
Crime and criminality,armed robbery,武装強盗,ぶそうごうとう
Crime and criminality,identity theft,個人情報の盗難,こじんじょうほうのとうなん
Crime and criminality,the thief,泥棒,どろぼう
Crime and criminality,the shoplifter,万引き,まんびき
Crime and criminality,the assault,暴行,ぼうこう
Crime and criminality,sexual assault,性的暴行,せいてきぼうこう
Crime and criminality,the alarm,アラーム,あらーむ
Crime and criminality,the weapon,武器,ぶき
Crime and criminality,the bomb,爆弾,ばくだん
Crime and criminality,the riot,暴動,ぼうどう
Crime and criminality,the scam,詐欺,さぎ
Crime and criminality,the fraud,詐欺,さぎ
Crime and criminality,bank fraud,銀行詐欺,ぎんこうさぎ
Crime and criminality,the intrusion,侵入,しんにゅう
Crime and criminality,negligence,過失,かしつ
Crime and criminality,the evidence,確たる証拠,かくたるしょうこ
Crime and criminality,the prison,刑務所,けいむしょ
Crime and criminality,the victim,被害者,ひがいしゃ
Crime and criminality,accuse,告発する,こくはつする
Crime and criminality,pay,支払う,しはらう
Crime and criminality,assault,暴行,ぼうこう
Crime and criminality,stop,やめる,やめる
Crime and criminality,murder,殺人,さつじん
Crime and criminality,attack,攻撃,こうげき
Crime and criminality,beat,ビート,びーと
Crime and criminality,burglary,強盗,ごうとう
Crime and criminality,search,探す,さがす
Crime and criminality,convict,有罪判決,ゆうざいはんけつ
Crime and criminality,defend,守る,まもる
Crime and criminality,embezzle money,横領,おうりょう
Crime and criminality,drug someone,誰かを麻薬,だれかをまやく
Crime and criminality,poison,毒,どく
Crime and criminality,imprison,投獄,とうごく
Crime and criminality,damage,ダメージ,だめーじ
Crime and criminality,lock up,閉じ込める,とじこめる
Crime and criminality,investigate,調査する,ちょうさする
Crime and criminality,cheat,チート,ちーと
Crime and criminality,spy,スパイ,すぱい
Crime and criminality,strangle,絞め殺す,しめころす
Crime and criminality,blackmail,恐喝,きょうかつ
Crime and criminality,smuggling,密輸,みつゆ
Crime and criminality,force,力,ちから
Crime and criminality,defraud,詐欺,さぎ
Crime and criminality,question,質問,しつもん
Crime and criminality,kidnap,誘拐,ゆうかい
Crime and criminality,release,解放する,かいほうする
Crime and criminality,mistreat,虐待する,ぎゃくたいする
Crime and criminality,threaten,脅かす,きょうかす
Crime and criminality,handcuff,手錠,てじょう
Crime and criminality,set fire to,火をセット,ひをせっと
Crime and criminality,stab,刺す,さす
Crime and criminality,take hostage,人質を取る,ひとじちをとる
Crime and criminality,prove,証明する,しょうめいする
Crime and criminality,resist,抵抗する,ていこうする
Crime and criminality,prostitute,売春婦,ばいしゅんふ
Crime and criminality,shoot,シュート,しゅーと
Crime and criminality,bring to justice,正義をもたらす,せいぎをもたらす
Crime and criminality,kill,殺します,ころします
Crime and criminality,rape,レイプ,れいぷ
Crime and criminality,steal,スチール,すちーる
Law and Justice,accredited,認定された,にんていされた
Law and Justice,acquitted,無罪,むざい
Law and Justice,clement,クレメント,くれめんと
Law and Justice,guilty,有罪,ゆうざい
Law and Justice,damages,損害,そんがい
Law and Justice,tear gas,催涙ガス,さいるいがす
Law and Justice,in remand,差し戻し中,さしもどしなか
Law and Justice,in custody,拘留されて,こうりゅうされて
Law and Justice,on parole,仮釈放中,かりしゃくほうなか
Law and Justice,on bail,保釈中,ほしゃくなか
Law and Justice,on probation,試用期間中,しようきかんちゅう
Law and Justice,charged,充電した,じゅうでんした
Law and Justice,innocent,罪のない,つみのない
Law and Justice,legal,法的,ほうてき
Law and Justice,the prosecution,起訴,きそ
Law and Justice,the acquittal,無罪,むざい
Law and Justice,the act,行為,こうい
Law and Justice,the unintended act,意図しない行為,いとしないこうい
Law and Justice,DNA,DNA,DNA
Law and Justice,the case,ケース,けーす
Law and Justice,the traffic officer,交通担当者,こうつうたんとうしゃ
Law and Justice,the adjournment,休会,きゅうかい
Law and Justice,the breathalyzer,呼吸器,こきゅうき
Law and Justice,the alibi,アリバイ,ありばい
Law and Justice,the claim,請求,せいきゅう
Law and Justice,the fine,罰金,ばっきん
Law and Justice,the amnesty,恩赦,おんしゃ
Law and Justice,the appeal,アピール,あぴーる
Law and Justice,the appellant,控訴人,こうそにん
Law and Justice,the arbitration,仲裁,ちゅうさい
Law and Justice,the arrest,逮捕,たいほ
Law and Justice,the stop,ストップ,すとっぷ
Law and Justice,the assessor,評価者,ひょうかしゃ
Law and Justice,legal aid,法的援助,ほうてきえんじょ
Law and Justice,the attestation,証明,しょうめい
Law and Justice,the hearing,公聴会,こうちょうかい
Law and Justice,the autopsy,剖検,ぼうけん
Law and Justice,the admission,入場,にゅうじょう
Law and Justice,the lawyer,弁護士,べんごし
Law and Justice,the duty counsel,義務弁護士,ぎむべんごし
Law and Justice,the senior lawyer,上級弁護士,じょうきゅうべんごし
Law and Justice,the due date,期日,きじつ
Law and Justice,the medical expert,医療専門家,いりょうせんもんか
Law and Justice,the expulsion,追放,ついほう
Law and Justice,immunity,免疫,めんえき
Law and Justice,the compensation,補償,ほしょう
Law and Justice,the index,インデックス,いんでっくす
Law and Justice,the badge,バッジ,ばっじ
Law and Justice,the inspector,検査官,けんさかん
Law and Justice,the interrogation,尋問,じんもん
Law and Justice,the disability,障害,しょうがい
Law and Justice,the irregularity,不規則,ふきそく
Law and Justice,the police officer,警察官,けいさつかん
Law and Justice,the uniform,ユニフォーム,ゆにふぉーむ
Law and Justice,the imprisonment,投獄,とうごく
Law and Justice,the witness stand,証人スタンド,しょうにんすたんど
Law and Justice,the right conduct,正しい行動,ただしいこうどう
Law and Justice,the good faith,善意,ぜんい
Law and Justice,the brigade,旅団,りょだん
Law and Justice,the surety,確実,かくじつ
Law and Justice,the cell,細胞,さいぼう
Law and Justice,the leniency,寛大さ,かんだいさ
Law and Justice,the letter rogatory,傲慢な手紙,ごうまんなてがみ
Law and Justice,the appearance,見た目,みため
Law and Justice,the conviction,信念,しんねん
Law and Justice,the court of appeal,控訴裁判所,こうそさいばんしょ
Law and Justice,the guilt,罪悪感,ざいあくかん
Law and Justice,the defence,防御,ぼうぎょ
Law and Justice,the deliberation,審議,しんぎ
Law and Justice,the deposition,堆積,たいせき
Law and Justice,the police raid,警察の襲撃,けいさつのしゅうげき
Law and Justice,the detention,拘留,こうりゅう
Law and Justice,the disclosure,開示,かいじ
Law and Justice,the force majeure,不可抗力,ふかこうりょく
Law and Justice,the body search,ボディ検索,ぼでぃけんさく
Law and Justice,the court,裁判所,さいばんしょ
Law and Justice,the jurisprudence,法学,ほうがく
Law and Justice,the law,法律,ほうりつ
Law and Justice,the baton,バトン,ばとん
Law and Justice,the examination,試験,しけん
Law and Justice,the release,リリース,りりーす
Law and Justice,the patrol,パトロール,ぱとろーる
Law and Justice,the sentence,文,ぶん
Law and Justice,support payments,サポート支払い,さぽーとしはらい
Law and Justice,the perpetuity,永久,えいきゅう
Law and Justice,the search,検索,けんさく
Law and Justice,the track,トラック,とらっく
Law and Justice,the argument,議論,ぎろん
Law and Justice,the complaint,苦情,くじょう
Law and Justice,the police,警察,けいさつ
Law and Justice,the premeditation,瞑想,めいそう
Law and Justice,the formal evidence,正式な証拠,せいしきなしょうこ
Law and Justice,the prison for life,終身刑,しゅうしんけい
Law and Justice,the punishment,罰,ばつ
Law and Justice,recidivism,再犯,さいはん
Law and Justice,life imprisonment,終身刑,しゅうしんけい
Law and Justice,the reintegration,再統合,さいとうごう
Law and Justice,the house arrest,自宅軟禁,じたくなんきん
Law and Justice,the responsibility,責任,せきにん
Law and Justice,criminal liability,刑事責任,けいじせきにん
Law and Justice,the courtroom,法廷,ほうてい
Law and Justice,the mermaid,人魚,にんぎょ
Law and Justice,the police car,パトカー,ぱとかー
Law and Justice,the firm,事務所,じむしょ
Law and Justice,the criminal record,犯罪歴,はんざいれき
Law and Justice,the bounty hunter,バウンティハンター,ばうんてぃはんたー
Law and Justice,the Commissioner,コミッショナー,こみっしょなー
Law and Justice,the police station,警察署,けいさつしょ
Law and Justice,the condemned,非難された,ひなんされた
Law and Justice,the legal counsel,弁護士,べんごし
Law and Justice,mutual consent,双方の合意,そうほうのごうい
Law and Justice,the finding,発見,はっけん
Law and Justice,the contract,その契約,そのけいやく
Law and Justice,the identity check,本人確認,ほんにんかくにん
Law and Justice,the declarant,宣言者,せんげんもの
Law and Justice,the detective,探偵,たんてい
Law and Justice,the document,文書,ぶんしょ
Law and Justice,the file,ファイル,ふぁいる
Law and Justice,the civil law,民法,みんぽう
Law and Justice,the common law,コモンロー,こもんろー
Law and Justice,the criminal law,刑法,けいほう
Law and Justice,the procedural law,手続き法,てつづきほう
Law and Justice,the Registry Fees,レジストリ料金,れじすとりりょうきん
Law and Justice,the official,公式,こうしき
Law and Justice,the bodyguard,ボディーガード,ぼでぃーがーど
Law and Justice,the keeper,キーパー,きーぱー
Law and Justice,the Registrar,レジストラ,れじすとら
Law and Justice,the beacon,ビーコン,びーこん
Law and Justice,the judge,裁判官,さいばんかん
Law and Justice,the judgment,判断,はんだん
Law and Justice,the final judgment,最終判断,さいしゅうはんだん
Law and Justice,the juror,陪審員,ばいしんいん
Law and Justice,the jury,陪審,ばいしん
Law and Justice,the magistrate,判事,はんじ
Law and Justice,the mandate,委任,いにん
Law and Justice,the arrest warrant,逮捕状,たいほじょう
Law and Justice,the Crown,王冠,おうかん
Law and Justice,the pattern,パターン,ぱたーん
Law and Justice,the dismissal,解雇,かいこ
Law and Justice,the courthouse,裁判所,さいばんしょ
Law and Justice,the penitentiary,刑務所,けいむしょ
Law and Justice,the litigant,訴訟者,そしょうもの
Law and Justice,the sketch,スケッチ,すけっち
Law and Justice,the trial,トライアル,とらいある
Law and Justice,the prosecutor,検察官,けんさつかん
Law and Justice,the repeat offender,繰り返し犯人,くりかえしはんにん
Law and Justice,the oath,宣誓,せんせい
Law and Justice,the testimony,証言,しょうげん
Law and Justice,the eyewitness,目撃者,もくげきしゃ
Law and Justice,the key witness,鍵となる証人,かぎとなるしょうにん
Law and Justice,the DNA test,DNAテスト,DNAてすと
Law and Justice,the legal title,法的タイトル,ほうてきたいとる
Law and Justice,the civil court,民事裁判所,みんじさいばんところ
Law and Justice,the federal court,連邦裁判所,れんぽうさいばんしょ
Law and Justice,the child court,児童裁判所,じどうさいばんしょ
Law and Justice,the verdict,評決,ひょうけつ
Law and Justice,the legal vacuum,法的真空,ほうてきしんくう
Law and Justice,the security guard,警備員,けいびいん
Law and Justice,fingerprints,指紋,しもん
Law and Justice,the police force,警察,けいさつ
Law and Justice,the fees,料金,りょうきん
Law and Justice,the handcuffs,手錠,てじょう
Law and Justice,the parties,パーティー,ぱーてぃー
Law and Justice,the reinforcements,増援,ぞうえん
Law and Justice,the forced labour,強制労働,きょうせいろうどう
Law and Justice,in absentia,欠席で,けっせきで
Law and Justice,premeditated,計画的,けいかくてき
Law and Justice,punitive,懲罰的,ちょうばつてき
Law and Justice,sought,求めた,もとめた
Law and Justice,severe,厳しい,いかめしい
Law and Justice,under oath,宣誓の下で,せんせいのしたで
Law and Justice,adjourn,延期する,えんきする
Law and Justice,go to jail,刑務所に行きます,けいむしょにいきます
Law and Justice,confess,告白する,こくはくする
Law and Justice,bleach,漂白,ひょうはく
Law and Justice,quash a decision,決定を破棄する,けっていをはきする
Law and Justice,certify,証明する,しょうめいする
Law and Justice,commute a sentence,通勤,つうきん
Law and Justice,appear,現れる,あらわれる
Law and Justice,confiscate,没収する,ぼっしゅうする
Law and Justice,contest,コンテスト,こんてすと
Law and Justice,falsify,改ざんする,かいざんする
Law and Justice,corroborate,確証する,かくしょうする
Law and Justice,corrupt,腐敗した,ふはいした
Law and Justice,find guilty,有罪を見つける,ゆうざいをみつける
Law and Justice,declare not guilty,無罪を宣言する,むざいをせんげんする
Law and Justice,hold,ホールド,ほーるど
Law and Justice,defer,延期する,えんきする
Law and Justice,have,持ってる,もってる
Law and Justice,disclose a document,文書を開示する,ぶんしょをかいじする
Law and Justice,hire a lawyer,弁護士を雇う,べんごしをやとう
Law and Justice,investigate a case,事件を調査する,じけんをちょうさする
Law and Justice,be on a mission,使命を果たす,しめいをはたす
Law and Justice,be found guilty,有罪とされる,ゆうざいとされる
Law and Justice,appeal,アピール,あぴーる
Law and Justice,make a statement,言明する,げんめいする
Law and Justice,win a trial,裁判に勝つ,さいばんにかつ
Law and Justice,to grace,恵みに,めぐみに
Law and Justice,incriminate,罪を犯す,つみをおかす
Law and Justice,indict,起訴,きそ
Law and Justice,instruct,指示する,しじする
Law and Justice,sue,訴える,うったえる
Law and Justice,interrupt,割り込み,わりこみ
Law and Justice,invoke a means,手段を呼び出す,しゅだんをよびだす
Law and Justice,judge,裁判官,さいばんかん
Law and Justice,release on bail,保釈金,ほしゃくきん
Law and Justice,put the cuffs on,袖口をかぶる,そでぐちをかぶる
Law and Justice,patrol,パトロール,ぱとろーる
Law and Justice,lose a trial,裁判を失う,さいばんをうしなう
Law and Justice,plead,懇願する,こんがんする
Law and Justice,plead guilty,有罪を認める,ゆうざいをみとめる
Law and Justice,plead not guilty,無罪を主張する,むざいをしゅちょうする
Law and Justice,file a complaint,苦情を申し立てる,くじょうをもうしたてる
Law and Justice,punish,罰する,ばつする
Law and Justice,serve a sentence,文を出す,ぶんをだす
Law and Justice,refute,反駁する,はんばくする
Law and Justice,dismiss an appeal,上訴を却下する,じょうそをきゃっかする
Law and Justice,render a verdict,評決を出す,ひょうけつをだす
Law and Justice,escape,逃れる,のがれる
Law and Justice,oppose,反対する,はんたいする
Law and Justice,seal,密閉する,みっぺいする
Law and Justice,surrender,降伏,こうふく
Law and Justice,recant,リカント,りかんと
Law and Justice,suspect,容疑者,ようぎしゃ
Law and Justice,testify,証言する,しょうげんする
Law and Justice,drop the charges,料金を落とす,りょうきんをおとす
Law and Justice,tail someone,誰かを尾行,だれかをびこう
In the bathroom,Anti wrinkle cream,しわクリーム,しわくりーむ
In the bathroom,conditioner,コンディショナー,こんでぃしょなー
In the bathroom,hair removal,脱毛,だつもう
In the bathroom,the bathtub,バスタブ,ばすたぶ
In the bathroom,hair brush,ヘアブラシ,へあぶらし
In the bathroom,toothbrush,歯ブラシ,はぶらし
In the bathroom,moisturizer,保湿剤,ほしつざい
In the bathroom,the shower,にわか雨,にわかあめ
In the bathroom,the nail file,ネイルファイル,ねいるふぁいる
In the bathroom,manicure,マニキュア,まにきゅあ
In the bathroom,pedicure,ペディキュア,ぺでぃきゅあ
In the bathroom,the tweezers,ピンセット,ぴんせっと
In the bathroom,the powder,粉末,ふんまつ
In the bathroom,the bathroom,バスルーム,ばするーむ
In the bathroom,the napkin,ナプキン,なぷきん
In the bathroom,sanitary napkin,生理用ナプキン,せいりようなぷきん
In the bathroom,hair dye,毛髪染料,もうはつせんりょう
In the bathroom,mouthwash,うがい薬,うがいくすり
In the bathroom,the bubble bath,バブルバス,ばぶるばす
In the bathroom,lip gloss,リップグロス,りっぷぐろす
In the bathroom,the tan,日焼け,ひやけ
In the bathroom,the corrector,修正者,しゅうせいもの
In the bathroom,cotton swab,綿棒,めんぼう
In the bathroom,the nail clipper,爪切り,つめきり
In the bathroom,the lip pencil,リップペンシル,りっぷぺんしる
In the bathroom,eyebrow pencil,アイブローペンシル,あいぶろーぺんしる
In the bathroom,the makeup remover,メイク落とし,めいくおとし
In the bathroom,toothpaste,歯磨き粉,はみがきこ
In the bathroom,the deodorant,消臭剤,しょうしゅうざい
In the bathroom,the remover,リムーバー,りむーばー
In the bathroom,eye shadow,アイシャドウ,あいしゃどう
In the bathroom,dental floss,デンタルフロス,でんたるふろす
In the bathroom,the foundation,財団,ざいだん
In the bathroom,the washcloth,手ぬぐい,てぬぐい
In the bathroom,the shower gel,シャワージェル,しゃわーじぇる
In the bathroom,the sink,流し,ながし
In the bathroom,makeup,化粧,けしょう
In the bathroom,mascara,マスカラ,ますから
In the bathroom,bathroom furniture,バスルーム家具,ばするーむかぐ
In the bathroom,the mirror,鏡,かがみ
In the bathroom,the makeup kit,メイクアップキット,めいくあっぷきっと
In the bathroom,the perfume,香水,こうすい
In the bathroom,the comb,くし,くし
In the bathroom,bathrobe,バスローブ,ばすろーぶ
In the bathroom,the bathroom scale,体重計,たいじゅうけい
In the bathroom,the towel rack,タオル掛け,たおるかけ
In the bathroom,shaving,シェービング,しぇーびんぐ
In the bathroom,the razor,かみそり,かみそり
In the bathroom,the electric shaver,電気シェーバー,でんきしぇーばー
In the bathroom,tap,タップする,たっぷする
In the bathroom,the lipstick,口紅,くちべに
In the bathroom,the soap,せっけん,せっけん
In the bathroom,the hairdryer,ドライヤー,どらいやー
In the bathroom,shampoo,シャンプー,しゃんぷー
In the bathroom,facial care,フェイシャルケア,ふぇいしゃるけあ
In the bathroom,the hygienic tampon,衛生的なタンポン,えいせいてきなたんぽん
In the bathroom,the bath mat,バスマット,ばすまっと
In the bathroom,the complexion,顔色,かおいろ
In the bathroom,nail polish,マニキュア,まにきゅあ
In the bathroom,toilet accessories,トイレ用品,といれようひん
In the bathroom,beauty treatments,美容トリートメント,びようとりーとめんと
In the bathroom,toilets,トイレ,といれ
In the bathroom,depilate,脱毛,だつもう
In the bathroom,exfoliate,剥離する,はくりする
In the bathroom,put on makeup,メイクをする,めいくをする
In the bathroom,take a bath,風呂に入る,ふろにいる
In the bathroom,take a shower,シャワーを浴びる,しゃわーをあびる
In the bathroom,to brush hair,髪を磨く,かみをみがく
In the bathroom,brush your teeth,歯を磨く,はをみがく
In the bathroom,wash yourself,自分を洗う,じぶんをあらう
In the bathroom,washing hair,髪を洗う,かみをあらう
In the bathroom,to shave,ひげをそる,ひげをそる
In the bathroom,to dry hair,髪を乾かす,かみをかわかす
In the bathroom,dry hands,乾いた手,かわいたて
In the bathroom,flush the toilet,トイレを流す,といれをながす
Describing people,HEIGHT,高さ,たかさ
Describing people,tall,背が高い,せがたかい
Describing people,a giant,巨人,きょじん
Describing people,of average height,平均身長の,へいきんしんちょうの
Describing people,a dwarf,ドワーフ,どわーふ
Describing people,tiny,小さな,ちいさな
Describing people,the build,ビルド,びるど
Describing people,WEIGHT,重量,じゅうりょう
Describing people,anorexic,拒食症,きょしょくしょう
Describing people,corpulence,肥満,ひまん
Describing people,plump,ふっくら,ふっくら
Describing people,overweight,太りすぎ,ふとりすぎ
Describing people,weak,弱い,よわい
Describing people,flabby,たるんだ,たるんだ
Describing people,fat,太い,ふとい
Describing people,slight,わずか,わずか
Describing people,hefty,多額の,たがくの
Describing people,lean,リーン,りーん
Describing people,skinny,スキニー,すきにー
Describing people,slender,細い,こまい
Describing people,obese,肥満した,ひまんした
Describing people,obesity,肥満,ひまん
Describing people,slim,スリム,すりむ
Describing people,stocky,ずんぐりした,ずんぐりした
Describing people,to weigh,はかる,はかる
Describing people,BEAUTY,ビューティー,びゅーてぃー
Describing people,charm,チャーム,ちゃーむ
Describing people,repulsive,嫌悪,けんお
Describing people,charming,魅力的な,みりょくてきな
Describing people,stylish,スタイリッシュ,すたいりっしゅ
Describing people,lovely,素敵な,すてきな
Describing people,plain,平野,へいや
Describing people,trendy,トレンディ,とれんでぃ
Describing people,scruffy,みすぼらしい,みすぼらしい
Describing people,pretty,可愛い,かわい
Describing people,seductive,魅惑的な,みわくてきな
Describing people,ugliness,醜さ,きたなさ
Describing people,ugly,醜い,みにくい
Describing people,the look,外観,がいかん
Describing people,a child,子供,こども
Describing people,Asian,アジア人,あじあにん
Describing people,black,ぶらっく,ぶらっく
Describing people,white,はくせき,はくせき
Describing people,hairy,毛深い,けぶかい
Giving directions and locate things,the North,北,きた
Giving directions and locate things,the South,南,みなみ
Giving directions and locate things,the East,東,ひがし
Giving directions and locate things,the West,西,にし
Giving directions and locate things,the top,トップ,とっぷ
Giving directions and locate things,the bottom,底,そこ
Giving directions and locate things,the left,左,ひだり
Giving directions and locate things,the right,右,みぎ
Giving directions and locate things,the front,フロント,ふろんと
Giving directions and locate things,the back,戻る,もどる
Giving directions and locate things,in front of,の前に,のまえに
Giving directions and locate things,between,の間に,のまに
Giving directions and locate things,under,下,した
Giving directions and locate things,to the right,右の方へ,みぎのほうへ
Giving directions and locate things,to the left,左に,ひだりに
Giving directions and locate things,outside,外側,そとがわ
Giving directions and locate things,inside,内部,ないぶ
Giving directions and locate things,in the corner of,の隅に,のすみに
Giving directions and locate things,around,周りに,まわりに
Giving directions and locate things,outside of,の外,のそと
Giving directions and locate things,against,に対して,にたいして
Giving directions and locate things,opposite,反対,はんたい
Giving directions and locate things,next to,の隣に,のとなりに
Giving directions and locate things,in the middle,途中で,とちゅうで
Giving directions and locate things,beyond,超えて,こえて
Giving directions and locate things,remote,リモート,りもーと
Giving directions and locate things,the distance,距離,きょり
Giving directions and locate things,elsewhere,たしょ,たしょ
Giving directions and locate things,here,ここに,ここに
Giving directions and locate things,the location,場所,ばしょ
Giving directions and locate things,straight,まっすぐ,まっすぐ
Giving directions and locate things,anywhere,どこでも,どこでも
Giving directions and locate things,the vertical,垂直,すいちょく
Giving directions and locate things,the horizontal,水平,すいへい
Giving directions and locate things,vertically,垂直に,すいちょくに
Giving directions and locate things,horizontally,横に,よこに
Giving directions and locate things,upstairs,上階,じょうかい
Giving directions and locate things,downstairs,階下,かいか
Giving directions and locate things,apart,離れて,はなれて
Giving directions and locate things,aside,さておき,さておき
Giving directions and locate things,on either side,どちら側にも,どちらがわにも
Giving directions and locate things,on both sides,両側に,りょうがわに
Giving directions and locate things,forward,フォワード,ふぉわーど
Giving directions and locate things,up and down,上下,じょうげ
Giving directions and locate things,Superior,優れました,まされました
Giving directions and locate things,lower,より低い,よりひくい
Giving directions and locate things,the level,レベル,れべる
Giving directions and locate things,along,に沿って,にそって
Giving directions and locate things,here and there,あちこち,あちこち
Giving directions and locate things,indoor,屋内,おくない
Giving directions and locate things,through,使って,つかって
Giving directions and locate things,side by side,並んで,ならんで
Giving directions and locate things,where,どこ,どこ
Giving directions and locate things,at the end of,の終わりに,のおわりに
Giving directions and locate things,among,の中で,のなかで
Giving directions and locate things,to come closer,近づく,ちかづく
Giving directions and locate things,to be lost,失われる,うしなわれる
Giving directions and locate things,to cross,クロス,くろす
Giving directions and locate things,to come in,入る,いる
Giving directions and locate things,to get out,出かける,でかける
Giving directions and locate things,to point out,示す,しめす
Giving directions and locate things,to get lost,迷子になる,まいごになる
Education and school,AT SCHOOL,学校で,がっこうで
Education and school,the nursery school,保育園,ほいくえん
Education and school,the private school,私立学校,しりつがっこう
Education and school,the public school,公立学校,こうりつがっこう
Education and school,the high school,高校,こうこう
Education and school,the infirmary,診療所,しんりょうじょ
Education and school,the boarding house,下宿,げしゅく
Education and school,the university,大学,だいがく
Education and school,the library,図書館,としょかん
Education and school,the canteen,水筒,すいとう
Education and school,the classroom,教室,きょうしつ
Education and school,the meeting room,会議室,かいぎしつ
Education and school,the staff room,スタッフルーム,すたっふるーむ
Education and school,the gymnasium,体育館,たいいくかん
Education and school,the kindergarten,幼稚園,ようちえん
Education and school,the playground,遊び場,あそびば
Education and school,the office,オフィス,おふぃす
Education and school,the student,学生,がくせい
Education and school,the teacher,先生,せんせい
Education and school,the sponge,スポンジ,すぽんじ
Education and school,the nurse,看護師,かんごし
Education and school,the computer,コンピュータ,こんぴゅーた
Education and school,the calculator,電卓,でんたく
Education and school,the chair,椅子,いす
Education and school,the chalk,チョーク,ちょーく
Education and school,the slide,スライド,すらいど
Education and school,the gum,ガム,がむ
Education and school,the paint,ペンキ,ぺんき
Education and school,the rule,ルール,るーる
Education and school,the table,テーブル,てーぶる
Education and school,the kit,キット,きっと
Education and school,the right student,適切な学生,てきせつながくせい
Education and school,the workbook,ワークブック,わーくぶっく
Education and school,the classmate,同級生,どうきゅうせい
